epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,216.371,1.25438,0.9482,1.39473,0.95051,0.91501,0.94249,0.55108,1.48833,0.72383,1.50401,0.000852526,0.000852526,0.000852526
49,220.779,1.23702,0.89983,1.37996,0.95,0.90767,0.95626,0.53638,1.56422,0.75334,1.56946,0.000847026,0.000847026,0.000847026
50,225.171,1.24018,0.8983,1.38269,0.94658,0.89722,0.9448,0.53493,1.50814,0.76078,1.56767,0.000841527,0.000841527,0.000841527
51,229.63,1.23528,0.92831,1.37763,0.94352,0.92029,0.95275,0.54074,1.50308,0.71311,1.5495,0.000836027,0.000836027,0.000836027
52,234.114,1.24629,0.89462,1.41394,0.96889,0.92986,0.95535,0.55298,1.50616,0.70183,1.53197,0.000830528,0.000830528,0.000830528
53,238.603,1.24725,0.97423,1.40738,0.95577,0.93336,0.96269,0.56171,1.47849,0.70718,1.51853,0.000825029,0.000825029,0.000825029
54,243.171,1.24221,0.88457,1.35983,0.97021,0.92123,0.95638,0.56322,1.47016,0.69815,1.50687,0.000819529,0.000819529,0.000819529
55,247.799,1.23667,0.86218,1.34594,0.96217,0.91615,0.95769,0.56403,1.45768,0.68015,1.51313,0.00081403,0.00081403,0.00081403
56,252.21,1.21357,0.87471,1.35234,0.97225,0.94806,0.97138,0.56203,1.49884,0.68097,1.53298,0.00080853,0.00080853,0.00080853
1,5.7638,1.96947,4.40321,2.14052,0.00408,0.30903,0.19102,0.1292,1.51041,4.09138,1.69564,0.00032219,0.00032219,0.00032219
2,10.3957,1.70221,3.80187,1.74403,0.007,0.4119,0.21737,0.13445,1.5319,3.82155,1.50881,0.000652245,0.000652245,0.000652245
3,14.7674,1.7416,3.07379,1.77279,0.8957,0.19171,0.53029,0.27146,1.59983,3.12993,1.7129,0.000979001,0.000979001,0.000979001
4,19.1958,1.71784,2.61847,1.74977,0.62793,0.59387,0.69396,0.33598,1.61287,2.36851,1.69325,0.0010945,0.0010945,0.0010945
5,23.6534,1.71925,2.4803,1.77589,0.72023,0.69001,0.73446,0.38259,1.52785,1.73436,1.67273,0.001089,0.001089,0.001089
6,28.0361,1.69603,2.27222,1.7392,0.6522,0.6637,0.68686,0.33578,1.5679,1.81213,1.65252,0.0010835,0.0010835,0.0010835
7,32.4481,1.64939,2.07778,1.68863,0.76906,0.75712,0.81376,0.39204,1.53795,1.73448,1.66295,0.001078,0.001078,0.001078
8,36.8914,1.62013,1.9804,1.66806,0.76658,0.8707,0.85112,0.44189,1.50244,1.572,1.61262,0.0010725,0.0010725,0.0010725
