epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,54.643,1.07884,1.13827,1.24264,0.89584,0.29313,0.6912,0.37102,1.32794,2.71553,1.35471,0.000622696,0.000622696,0.000622696
43,55.8849,1.03926,1.14986,1.2502,0.89584,0.29313,0.6912,0.37102,1.32794,2.71553,1.35471,0.000630221,0.000630221,0.000630221
44,57.1679,1.0584,1.14955,1.27997,0.8667,0.41248,0.92046,0.53232,1.21653,2.32691,1.36688,0.000637395,0.000637395,0.000637395
45,58.4621,1.0273,1.12561,1.2086,0.8667,0.41248,0.92046,0.53232,1.21653,2.32691,1.36688,0.000644216,0.000644216,0.000644216
46,59.8288,1.05551,1.11061,1.22378,0.85651,0.47094,0.93063,0.5176,1.2717,2.22803,1.41149,0.000650686,0.000650686,0.000650686
47,61.0916,0.95155,1.08733,1.21477,0.85651,0.47094,0.93063,0.5176,1.2717,2.22803,1.41149,0.000656804,0.000656804,0.000656804
48,62.3702,0.99084,1.14843,1.28665,0.86547,0.58857,0.95577,0.59973,1.16212,2.03605,1.35997,0.000662569,0.000662569,0.000662569
49,63.6103,0.98841,1.04997,1.22208,0.86547,0.58857,0.95577,0.59973,1.16212,2.03605,1.35997,0.000667983,0.000667983,0.000667983
50,64.9278,0.96145,1.02299,1.1793,0.85435,0.61527,0.8825,0.52597,1.26901,2.08125,1.40556,0.000673045,0.000673045,0.000673045
51,66.2108,0.98986,1.04795,1.23866,0.85435,0.61527,0.8825,0.52597,1.26901,2.08125,1.40556,0.000671044,0.000671044,0.000671044
52,67.5011,1.00117,1.04867,1.24258,0.88735,0.73531,0.95724,0.59076,1.20602,1.81276,1.3956,0.000662245,0.000662245,0.000662245
53,68.7675,0.92829,0.97561,1.16563,0.88735,0.73531,0.95724,0.59076,1.20602,1.81276,1.3956,0.000653446,0.000653446,0.000653446
54,70.0285,1.01751,1.13527,1.31536,0.88212,0.83751,0.98437,0.72935,0.94067,1.45236,1.20995,0.000644647,0.000644647,0.000644647
55,71.2685,1.02914,1.05511,1.26861,0.88212,0.83751,0.98437,0.72935,0.94067,1.45236,1.20995,0.000635848,0.000635848,0.000635848
56,72.6591,1.00166,1.03307,1.20306,0.89394,0.83196,0.98405,0.71425,0.95477,1.42018,1.20156,0.000627048,0.000627048,0.000627048
57,73.9145,0.93915,1.01608,1.16709,0.89394,0.83196,0.98405,0.71425,0.95477,1.42018,1.20156,0.000618249,0.000618249,0.000618249
58,75.2035,0.92462,0.96396,1.16902,0.89542,0.83707,0.97919,0.62346,1.19991,1.4691,1.39728,0.00060945,0.00060945,0.00060945
59,76.429,0.9268,1.04157,1.19111,0.89542,0.83707,0.97919,0.62346,1.19991,1.4691,1.39728,0.000600651,0.000600651,0.000600651
60,77.6949,0.90283,0.99418,1.15313,0.90076,0.85826,0.98004,0.64239,1.15196,1.35898,1.38806,0.000591852,0.000591852,0.000591852
61,78.9337,0.89875,0.97926,1.20619,0.90076,0.85826,0.98004,0.64239,1.15196,1.35898,1.38806,0.000583053,0.000583053,0.000583053
62,80.2061,0.92513,0.96963,1.21477,0.93398,0.89452,0.98731,0.73038,0.93401,1.17063,1.21722,0.000574254,0.000574254,0.000574254
63,81.4603,0.91615,0.95991,1.13702,0.93398,0.89452,0.98731,0.73038,0.93401,1.17063,1.21722,0.000565455,0.000565455,0.000565455
64,82.7478,0.94432,0.9429,1.16789,0.93962,0.92307,0.98629,0.7315,0.91777,1.09145,1.19972,0.000556655,0.000556655,0.000556655
